index, initial_mass, final_mass, Xinit, Yinit, Zinit, amlt, fov_shell, fov0_shell, fov_core, fov0_core 
0, 1.50000, 0.80000, 0.71780287, 0.26794943, 0.01424769, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
1, 2.20000, 0.80000, 0.71780287, 0.26794943, 0.01424769, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
2, 1.50000, 0.50000, 0.71780287, 0.26794943, 0.01424769, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
3, 2.20000, 0.50000, 0.71780287, 0.26794943, 0.01424769, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
4, 1.50000, 0.60000, 0.71780287, 0.26794943, 0.01424769, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
5, 2.20000, 0.60000, 0.71780287, 0.26794943, 0.01424769, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
6, 1.50000, 0.70000, 0.71780287, 0.26794943, 0.01424769, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
7, 2.20000, 0.70000, 0.71780287, 0.26794943, 0.01424769, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
8, 1.50000, 0.55000, 0.71780287, 0.26794943, 0.01424769, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
9, 2.20000, 0.55000, 0.71780287, 0.26794943, 0.01424769, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
10, 1.50000, 0.65000, 0.71780287, 0.26794943, 0.01424769, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
11, 2.20000, 0.65000, 0.71780287, 0.26794943, 0.01424769, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
12, 1.50000, 0.75000, 0.71780287, 0.26794943, 0.01424769, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
13, 2.20000, 0.75000, 0.71780287, 0.26794943, 0.01424769, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
14, 1.50000, 1.00000, 0.71780287, 0.26794943, 0.01424769, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
15, 2.20000, 1.00000, 0.71780287, 0.26794943, 0.01424769, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
16, 1.50000, 1.20000, 0.71780287, 0.26794943, 0.01424769, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
17, 2.20000, 1.20000, 0.71780287, 0.26794943, 0.01424769, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
18, 1.50000, 1.40000, 0.71780287, 0.26794943, 0.01424769, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
19, 2.20000, 1.40000, 0.71780287, 0.26794943, 0.01424769, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
20, 2.20000, 1.60000, 0.71780287, 0.26794943, 0.01424769, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
21, 2.20000, 1.80000, 0.71780287, 0.26794943, 0.01424769, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
22, 2.20000, 2.00000, 0.71780287, 0.26794943, 0.01424769, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000
